date,hs
2024-10-22,0.5808529411764706
2024-10-23,0.6485069444444445
2024-10-24,0.6823680555555556
2024-10-25,0.6776041666666667
2024-10-26,0.684888888888889
2024-10-27,0.6832013888888889
2024-10-28,0.6758680555555556
2024-10-29,0.6733194444444446
2024-10-30,0.6708402777777778
2024-10-31,0.6653611111111112
2024-11-01,0.6680763888888889
2024-11-02,0.6691666666666667
2024-11-03,0.6660208333333334
2024-11-04,0.661076388888889
2024-11-05,0.6603680555555556
2024-11-06,0.6627013888888889
2024-11-07,0.6634652777777778
2024-11-08,0.6671666666666667
2024-11-09,0.6632430555555556
2024-11-10,0.6623958333333334
2024-11-11,0.6641319444444445
2024-11-12,0.6642569444444445
2024-11-13,0.6811736111111111
2024-11-14,0.7293263888888889
2024-11-15,0.7189375
2024-11-16,0.7068263888888889
2024-11-17,0.6980138888888888
2024-11-18,0.6702222222222223
2024-11-19,0.6875416666666667
2024-11-20,0.8110416666666667
2024-11-21,0.8476041666666666
2024-11-22,0.975125
2024-11-23,0.9636944444444444
2024-11-24,0.9378055555555557
2024-11-25,0.914076388888889
2024-11-26,0.9151875
2024-11-27,0.8951666666666667
2024-11-28,0.9117500000000001
2024-11-29,0.9137361111111111
2024-11-30,0.8849097222222223
2024-12-01,0.8800277777777779
2024-12-02,0.8867361111111111
2024-12-03,0.9009027777777777
2024-12-04,0.9170833333333334
2024-12-05,0.9040416666666667
2024-12-06,0.9902986111111112
2024-12-07,1.0166805555555554
2024-12-08,1.2504930555555556
2024-12-09,1.3788194444444444
2024-12-10,1.2306666666666668
2024-12-11,1.1972152777777778
2024-12-12,1.1696805555555556
2024-12-13,1.1426319444444444
2024-12-14,1.1680625
2024-12-15,1.1793194444444444
2024-12-16,1.1980069444444446
2024-12-17,1.1456597222222222
2024-12-18,1.1073194444444445
2024-12-19,1.1117430555555556
2024-12-20,1.1848888888888889
2024-12-21,1.155159722222222
2024-12-22,1.2486736111111112
2024-12-23,1.3515539568345325
2024-12-24,1.1416142857142857
2024-12-25,1.0782430555555556
2024-12-26,1.0760416666666668
2024-12-27,1.0723680555555555
2024-12-28,1.0731527777777776
2024-12-29,1.073423611111111
2024-12-30,1.0696180555555557
2024-12-31,1.0707291666666667
2025-01-01,1.0727083333333334
2025-01-02,1.083423611111111
2025-01-03,1.1633958333333334
2025-01-04,1.1652430555555555
2025-01-05,1.1802361111111113
2025-01-06,1.1806527777777778
2025-01-07,1.2925624999999998
2025-01-08,1.3106458333333333
2025-01-09,1.2982361111111111
2025-01-10,1.290923611111111
2025-01-11,1.3703750000000001
2025-01-12,1.3631805555555556
2025-01-13,1.3511180555555555
2025-01-14,1.3435277777777777
2025-01-15,1.3712569444444445
2025-01-16,1.3605277777777778
2025-01-17,1.3532638888888888
2025-01-18,1.3554861111111112
2025-01-19,1.3856527777777776
2025-01-20,1.4113680555555554
2025-01-21,1.3834375
2025-01-22,1.4037986111111111
2025-01-23,1.4448680555555555
2025-01-24,1.4399652777777776
2025-01-25,1.4218055555555555
2025-01-26,1.559763888888889
2025-01-27,1.5966805555555554
2025-01-28,2.0903472222222224
2025-01-29,2.159076388888889
2025-01-30,2.1244583333333336
2025-01-31,2.0927152777777778
2025-02-01,2.0921180555555554
2025-02-02,2.057541666666667
2025-02-03,2.036784722222222
2025-02-04,2.0028333333333332
2025-02-05,1.968027777777778
2025-02-06,1.9513611111111109
2025-02-07,1.9348958333333333
2025-02-08,1.915423611111111
2025-02-09,1.9380416666666664
2025-02-10,1.951611111111111
2025-02-11,1.9434166666666666
2025-02-12,1.9648194444444447
2025-02-13,1.9630069444444445
2025-02-14,2.0181041666666664
2025-02-15,1.9803611111111112
2025-02-16,1.9432777777777777
2025-02-17,1.9056041666666665
2025-02-18,1.8905416666666666
2025-02-19,1.883076388888889
2025-02-20,1.8773819444444446
2025-02-21,1.8677083333333333
2025-02-22,1.8527916666666668
2025-02-23,1.8423680555555555
2025-02-24,1.8359930555555555
2025-02-25,1.8349374999999999
2025-02-26,1.870611111111111
2025-02-27,1.867138888888889
2025-02-28,1.852736111111111
2025-03-01,1.8477361111111112
2025-03-02,1.8472083333333333
2025-03-03,1.8411527777777776
2025-03-04,1.8365972222222224
2025-03-05,1.8369097222222222
2025-03-06,1.8292291666666667
2025-03-07,1.8205277777777777
2025-03-08,1.8194513888888888
2025-03-09,1.8195069444444445
2025-03-10,1.8709027777777776
2025-03-11,1.8861319444444444
2025-03-12,1.9305
2025-03-13,2.0366944444444446
2025-03-14,2.127180555555556
2025-03-15,2.2193125
2025-03-16,2.3509305555555553
2025-03-17,2.3429444444444445
2025-03-18,2.297458333333333
2025-03-19,2.2711527777777776
2025-03-20,2.250763888888889
2025-03-21,2.2344930555555553
2025-03-22,2.216833333333333
2025-03-23,2.261340277777778
2025-03-24,2.2432986111111113
2025-03-25,2.2315416666666668
2025-03-26,2.238770833333333
2025-03-27,2.2315625000000003
2025-03-28,2.2333958333333332
2025-03-29,2.2458472222222223
2025-03-30,2.286354166666667
2025-03-31,2.4879444444444445
2025-04-01,2.5237708333333333
2025-04-02,2.4489722222222223
2025-04-03,2.3996180555555555
2025-04-04,2.3724722222222225
2025-04-05,2.3499097222222223
2025-04-06,2.325451388888889
2025-04-07,2.3111319444444445
2025-04-08,2.2970694444444444
2025-04-09,2.2879166666666664
2025-04-10,2.278083333333333
2025-04-11,2.264777777777778
2025-04-12,2.253840277777778
2025-04-13,2.2813749999999997
2025-04-14,2.287423611111111
2025-04-15,2.383701388888889
2025-04-16,2.4044236111111115
2025-04-17,2.664625
2025-04-18,2.826159722222222
2025-04-19,2.7970763888888888
2025-04-20,2.728277777777778
2025-04-21,2.777284722222222
2025-04-22,2.746847222222222
2025-04-23,2.7482430555555557
2025-04-24,2.7343333333333337
2025-04-25,2.754659722222222
2025-04-26,2.7595416666666663
2025-04-27,2.761243055555555
2025-04-28,2.7304375
2025-04-29,2.6788333333333334
2025-04-30,2.632861111111111
2025-05-01,2.589354166666667
2025-05-02,2.5228680555555556
2025-05-03,2.4695
2025-05-04,2.4814861111111113
2025-05-05,2.6474166666666665
2025-05-06,2.684013888888889
2025-05-07,2.7924305555555557
2025-05-08,2.7609444444444446
2025-05-09,2.781222222222222
2025-05-10,2.714590277777778
2025-05-11,2.659194444444444
2025-05-12,2.628340277777778
2025-05-13,2.6375833333333336
2025-05-14,2.5701319444444444
2025-05-15,2.573958333333333
2025-05-16,2.6209236111111114
2025-05-17,2.6709722222222223
2025-05-18,2.646736111111111
2025-05-19,2.618715277777778
2025-05-20,2.6196875
2025-05-21,2.636319444444444
2025-05-22,2.7833958333333335
2025-05-23,2.844798611111111
2025-05-24,2.8051666666666666
2025-05-25,2.7772361111111112
2025-05-26,2.7567222222222223
2025-05-27,2.7341805555555556
2025-05-28,2.7591527777777776
2025-05-29,2.782027777777778
2025-05-30,2.7290902777777775
2025-05-31,2.6742222222222223
2025-06-01,2.631798611111111
2025-06-02,2.600013888888889
2025-06-03,2.592041666666667
2025-06-04,2.5523611111111113
2025-06-05,2.527791666666667
2025-06-06,2.4817708333333335
2025-06-07,2.426625
2025-06-08,2.365875
2025-06-09,2.3249166666666667
2025-06-10,2.2784999999999997
2025-06-11,2.230215277777778
2025-06-12,2.162798611111111
2025-06-13,2.0942291666666666
2025-06-14,2.0310555555555556
2025-06-15,1.9814930555555554
2025-06-16,1.9371736111111109
2025-06-17,1.8801458333333332
2025-06-18,1.8121388888888887
2025-06-19,1.7415277777777778
2025-06-20,1.6549027777777778
2025-06-21,1.5867708333333335
2025-06-22,1.5210694444444444
2025-06-23,1.4462916666666665
2025-06-24,1.3517222222222223
2025-06-25,1.2704513888888889
2025-06-26,1.1928263888888888
2025-06-27,1.102652777777778
2025-06-28,1.0038194444444446
2025-06-29,0.9441041666666666
2025-06-30,0.8519166666666667
2025-07-01,0.7017916666666667
2025-07-02,0.6955192307692308
