TIMESTAMP,median,p05,p95,density
2024-10-22,173.8403399657194,168.16247817521523,193.17336623951437,294.64464400969393
2024-10-23,177.32539506368505,172.59946853996706,198.6285755738471,282.81562211114044
2024-10-24,197.5349119217094,185.98401251935192,212.1702039352585,293.95076178825803
2024-10-25,201.01088840558276,190.47162033824353,220.3483281249358,296.4762365864052
2024-10-26,212.30025651478167,194.64108893950515,226.56138141450324,310.38049198067495
2024-10-27,224.6225657482102,207.32350962674008,240.1335788599556,329.35860080382724
2024-10-28,244.5664701044317,227.3483665657076,267.7606457966357,361.2503251173289
2024-10-29,252.97158418681352,232.55711541017692,271.45376292215525,375.3287599210883
2024-10-30,259.98529798023475,239.5772564817163,276.8048056205281,386.8828838991588
2024-10-31,268.29843002660266,243.79901916500788,286.0380456172913,401.64435632724945
2024-11-01,269.02072945457996,250.9337069577865,283.5318024707465,402.1236613670851
2024-11-02,269.0381796490168,239.92985467722772,287.6343754679301,402.1497453647485
2024-11-03,256.94104963814345,240.7415227141975,278.0503044862483,385.7973718290442
2024-11-04,239.70581026275642,226.673837309877,263.7627344274959,361.5472251323626
2024-11-05,232.60538219080559,217.50324054477431,253.59377786589008,351.3676468139057
2024-11-06,223.21044003800182,208.39252046099716,236.65881427906086,336.1603012620509
2024-11-07,221.6213919442332,203.20062879509817,245.9867368302817,333.2652510439597
2024-11-08,223.1882496699552,212.47213973864467,240.20512973935845,334.61506697144705
2024-11-09,224.36296357148504,204.84477035283436,234.79841976592505,337.89602947512805
2024-11-10,219.86685889205992,202.95383822601474,234.61621386905043,331.62422155665143
2024-11-11,223.85711682428933,210.5095050931385,234.4653628215706,335.1154443477385
2024-11-12,223.00044195039166,210.27715666713033,241.79417419210498,334.3334961774987
2024-11-13,229.6216996924845,211.3739471864668,242.94738966406987,344.2604193290622
2024-11-14,227.38843419631985,213.01208141826524,250.47334419458898,312.7763881655019
2024-11-15,222.045530686308,208.41747026166024,231.6976744477383,309.6869326168871
2024-11-16,222.22379760570317,209.8073713831188,230.328160840178,313.8754203470384
