"date","hs","swe_deltasnow","swe_hs2swe","swe_gu19","swe_pi16","swe_st10"
2024-10-22,0,0,0,0,0,0
2024-10-23,0.691180555555556,55.8038859847222,78.5872291666667,208.137136,133.397847222222,103.892688238174
2024-10-24,0.674340277777778,76.3402167073452,91.9809011396332,202.428387267361,130.822013888889,101.897436491241
2024-10-25,0.679604166666667,86.2221469660017,100.039685702618,203.376440025,132.5228125,104.034309084375
2024-10-26,0.686534722222222,93.2713282889497,106.423110056997,204.822485364583,134.560805555556,106.505140410779
2024-10-27,0.679881944444444,97.5728781490067,110.379639222482,202.226261177778,133.936743055556,106.37448273147
2024-10-28,0.6745,100.962832100767,113.569899808394,200.02924785,133.551,106.469249942515
2024-10-29,0.673868055555556,104.140211855993,116.760189778625,199.256584441667,134.099743055556,107.470792514583
2024-10-30,0.668,104.140211855993,119.083022155045,196.9515836,133.6,107.439359714576
2024-10-31,0.665722222222222,106.618019494734,121.43558937014,195.722333333333,133.810166666667,108.096390277527
2024-11-01,0.669263888888889,109.346898554169,124.266488474011,196.2132476375,135.191305555556,109.899249436515
2024-11-02,0.66875,109.346898554169,126.614640318314,195.5229725,135.75625,110.896073619505
2024-11-03,0.663208333333333,109.346898554169,126.614640318314,193.3778215875,135.2945,110.873235043699
2024-11-04,0.660125,109.346898554169,126.614640318314,191.9664624,135.325625,111.330452787355
2024-11-05,0.661638888888889,109.346898554169,126.614640318314,191.903397430556,136.297611111111,112.713296692093
2024-11-06,0.663145833333333,109.346898554169,129.213038486044,191.846232775,137.2711875,114.095379680624
2024-11-07,0.663694444444444,109.346898554169,129.213038486044,191.520513858333,138.048444444444,115.279248253162
2024-11-08,0.667569444444444,111.842001003969,132.041288135827,192.161733777778,139.522013888889,117.156395725318
2024-11-09,0.662048611111111,111.842001003969,132.041288135827,190.109708260417,139.030208333333,117.062707935894
2024-11-10,0.663736111111111,111.842001003969,132.041288135827,190.14048375,140.048319444444,118.476439248921
2024-11-11,0.665180555555556,111.842001003969,134.484990737657,190.109733584722,141.018277777778,119.839486585935
2024-11-12,0.66025,111.842001003969,134.484990737657,188.2694952,140.63325,119.833827329864
2024-11-13,0.705555555555556,118.101861584192,141.325261046615,200.738528333333,150.988888888889,130.75527682822
2024-11-14,0.728756944444444,122.797725217399,146.776285503691,206.886225952778,156.682743055556,137.02625215964
2024-11-15,0.7125,122.797725217399,146.776285503691,201.83878125,153.9,134.508496125957
2024-11-16,0.704416666666667,122.797725217399,146.776285503691,199.1323928,152.858416666667,133.796116780205
2024-11-17,0.687756944444444,122.797725217399,146.776285503691,194.026756709028,149.931013888889,131.136112427205
2024-11-18,0.670638888888889,122.797725217399,146.776285503691,188.821598233333,146.869916666667,128.348083665001
2024-11-19,0.722784722222222,129.539043455611,153.957756812625,203.10951795625,159.012638888889,141.265289712019
2024-11-20,0.824763888888889,141.791673060065,168.149995737094,231.329775555555,182.272819444444,166.472310501015
2024-11-21,0.898826388888889,153.421023054632,181.133880339951,251.64055914375,199.539458333333,185.904783638966
2024-11-22,0.974263888888889,166.391092366366,194.859871111315,272.274411383333,217.260847222222,206.368119178946
2024-11-23,0.955819444444444,170.904236917489,198.61750615927,266.657662815278,214.103555555556,203.045672055534
2024-11-24,0.929652777777778,170.904236917489,198.61750615927,258.922429333333,209.171875,197.723250278965
2024-11-25,0.911694444444444,173.316806848887,198.61750615927,253.508036458333,206.042944444444,194.480428133885
2024-11-26,0.910416666666667,176.45577779122,200.929569244062,252.754609166667,206.664583333333,195.481013290857
2024-11-27,0.894909722222222,176.45577779122,200.929569244062,248.071928202083,204.039416666667,192.815056129632
2024-11-28,0.922493055555556,181.784804134275,206.133381866014,255.3431258,211.250909722222,201.254994561729
2024-11-29,0.900104166666667,181.784804134275,206.133381866014,248.793922260417,207.023958333333,196.750466570755
2024-11-30,0.881319444444444,181.784804134275,206.133381866014,243.27060625,203.584791666667,193.160206029334
2024-12-01,0.8818125,181.784804134275,206.133381866014,243.08898733125,204.5805,194.553263440324
2024-12-02,0.889305555555556,184.699200577132,209.11437980853,244.847874222222,207.208194444444,197.777695607189
2024-12-03,0.909576388888889,188.793423487628,213.522937074033,250.129231935417,212.840875,204.405670242322
2024-12-04,0.911486111111111,191.198870111037,216.223747689165,250.368098783333,214.199236111111,206.201103263525
2024-12-05,0.913305555555556,191.198870111037,218.668879714844,250.595061597222,215.540111111111,207.972539488661
2024-12-06,1.0205625,203.961185154396,233.003732130921,279.7353648,241.8733125,238.635705030187
2024-12-07,1.04724305555556,210.993048658526,240.74306160411,286.76792731875,249.243847222222,247.531650698116
2024-12-08,1.38382638888889,249.593198920393,283.136041268127,378.585562880556,330.734506944444,348.691218419981
2024-12-09,1.2913125,257.849846832294,283.136041268127,352.96955398125,309.915,322.110151360954
2024-12-10,1.21585416666667,257.849846832294,283.136041268127,332.07409,293.020854166667,301.057830733074
2024-12-11,1.18771527777778,261.375164830918,283.136041268127,324.143771004861,287.427097222222,294.266243476335
2024-12-12,1.16177777777778,261.375164830918,283.136041268127,316.843288533333,282.312,288.119264714515
2024-12-13,1.13029861111111,261.375164830918,283.136041268127,308.059834652083,275.792861111111,280.321363710565
2024-12-14,1.19260416666667,270.985373201715,292.226700048823,324.850109666667,292.188020833333,300.447341009301
2024-12-15,1.18316666666667,273.961500770695,294.875653114303,322.10825125,291.059,299.159008023655
2024-12-16,1.18709027777778,277.66720743053,298.140444755917,323.022934175,293.211298611111,301.894700497341
2024-12-17,1.12740277777778,277.66720743053,298.140444755917,306.652766373611,279.595888888889,285.412114694722
2024-12-18,1.10130555555556,277.66720743053,298.140444755917,299.4458616,274.225083333333,279.05873289163
2024-12-19,1.1471875,284.110769756281,304.636648195001,311.82586771875,286.796875,294.341242879496
2024-12-20,1.1695625,288.586359817903,309.766372920056,317.828609375,293.5601875,302.659547110134
2024-12-21,1.16825694444444,288.586359817903,312.301380296136,317.412724814583,294.40075,303.760782229648
2024-12-22,1.30983916083916,305.117908797856,330.668505397723,355.831954304895,331.389307692308,349.66924391795
2024-12-23,1.29923529411765,309.687885814799,335.152662454447,352.923365829412,330.005764705882,347.922570887329
2024-12-24,1.09708333333333,309.687885814799,321.047576504723,298.0042565,279.75625,286.311893511805
2024-12-25,1.07708333333333,309.687885814799,321.047576504723,292.581609375,275.733333333333,281.599478931846
2024-12-26,1.07416666666667,309.687885814799,321.047576504723,291.815850666667,276.060833333333,282.080154265303
2024-12-27,1.07263194444444,309.687885814799,321.047576504723,291.44192951875,276.739041666667,282.973666370931
2024-12-28,1.07359722222222,309.687885814799,321.047576504723,291.763787183333,278.061680555556,284.628407338015
2024-12-29,1.07084027777778,309.687885814799,321.047576504723,291.090474817361,278.418472222222,285.130135346503
2024-12-30,1.07148611111111,309.687885814799,321.047576504723,291.358503333333,279.657875,286.675602105538
2024-12-31,1.07061111111111,309.687885814799,321.047576504723,291.229454483333,280.500111111111,287.744341515075
2025-01-01,1.07430555555556,309.687885814799,321.047576504723,292.360224722222,281.468055555556,290.232686034215
2025-01-02,1.11525,314.760108965453,327.373264012966,303.650567325,293.31075,304.461310624471
2025-01-03,1.16335416666667,320.661202589174,334.860215743996,316.9200114,307.1255,321.19014215273
2025-01-04,1.16358333333333,320.661202589174,337.5457800171,317.172453958333,308.349583333333,322.682114444415
2025-01-05,1.18420138888889,324.336442935693,341.871174277731,323.004191875,314.997569444444,330.771332404646
2025-01-06,1.20109722222222,327.755616751233,346.057526785553,327.845852620833,320.692958333333,337.711268922527
2025-01-07,1.31704166666667,341.040649002963,361.574163936848,359.769423466667,352.967166666667,377.626022432653
2025-01-08,1.30654861111111,344.149931557887,365.250175333851,357.196932827083,351.461576388889,375.6478070287
2025-01-09,1.30095138888889,346.886226264281,367.766938648299,355.979328541667,351.256875,375.298163741714
2025-01-10,1.29377777777778,346.886226264281,367.766938648299,354.347232311111,350.613777777778,374.402085943851
2025-01-11,1.38619444444444,358.831685720233,380.634050968074,380.034633066667,377.044888888889,407.458719961898
2025-01-12,1.36004166666667,358.831685720233,380.634050968074,373.2543231375,371.291375,400.044439853728
2025-01-13,1.34823611111111,361.592841709128,380.634050968074,370.421399994444,369.416694444444,397.545558843949
2025-01-14,1.35011805555556,364.963666680902,383.515188319357,371.36684765625,371.282465277778,399.742104430127
2025-01-15,1.37077083333333,369.833344150091,388.581980124264,377.5037078,378.33275,408.442912689255
2025-01-16,1.357125,369.833344150091,388.581980124264,374.2181260125,375.923625,405.255038033487
2025-01-17,1.35393055555556,369.833344150091,388.581980124264,373.829433116667,376.392694444444,405.681406995196
2025-01-18,1.355125,372.588703938264,391.197356449357,374.6726842125,378.079875,407.627885150832
2025-01-19,1.40882638888889,380.41896133312,399.753246050829,390.075850555556,394.471388888889,428.041636360411
2025-01-20,1.39991666666667,380.41896133312,402.447482490798,388.182472525,393.376583333333,426.455765286769
2025-01-21,1.38281944444444,380.41896133312,402.447482490798,384.02942545,389.955083333333,421.954882820708
2025-01-22,1.42256944444444,387.367625606821,409.144618330587,395.695230590278,402.587152777778,437.633279099724
2025-01-23,1.45294444444444,393.847049784322,415.917264524192,404.8065952,412.636222222222,450.10158409123
2025-01-24,1.42259722222222,393.847049784322,415.917264524192,397.021989270833,405.440208333333,440.765245937161
2025-01-25,1.45898611111111,400.8123713033,422.247320523917,407.887579894444,417.270027777778,455.453294312022
2025-01-26,1.57561111111111,416.337337429692,438.847443206522,441.283452183333,452.200388888889,499.789540059234
2025-01-27,1.67652083333333,433.276015321542,456.192929943207,470.4129688,482.838,539.215392765933
2025-01-28,2.20936805555556,498.395526755013,523.842492629222,621.101303703472,638.507368055556,750.515130222419
2025-01-29,2.14059722222222,529.924013738976,535.847595052118,602.942019583333,620.773194444444,724.691298688979
2025-01-30,2.1203125,546.063470112695,544.884545616015,598.42364203125,617.0109375,718.573397040589
2025-01-31,2.0805,553.752586757132,549.61360776136,588.3920304,607.506,704.554780829254
2025-02-01,2.09120138888889,563.30941798559,558.127419443829,592.66173938125,612.722006944445,710.92391909744
2025-02-02,2.0499375,566.055708534118,560.838347755444,582.217508925,602.681625,696.287502078567
2025-02-03,2.02954861111111,569.318464939549,564.26026115523,577.695790538195,598.716840277778,690.069866136208
2025-02-04,1.98897916666667,569.318464939549,564.26026115523,567.4223414,588.737833333333,675.728360693271
2025-02-05,1.95997916666667,569.318464939549,564.26026115523,560.43507093125,582.1138125,666.037650729435
2025-02-06,1.94645138888889,569.318464939549,564.26026115523,557.873989730556,580.042513888889,662.531208759098
2025-02-07,1.92870138888889,569.318464939549,564.26026115523,554.111473014583,576.681715277778,657.316959115578
2025-02-08,1.91232638888889,569.318464939549,564.26026115523,550.75,573.697916666667,652.636163934446
2025-02-09,1.95331944444444,576.850358632106,571.795742189492,563.957897365278,587.949152777778,670.971036652047
2025-02-10,1.94701388888889,579.804973506201,575.455712116682,563.56472775,587.998194444444,670.307808827273
2025-02-11,1.95542361111111,583.935545669157,580.25468458935,567.462563147917,592.493354166667,675.578666513345
2025-02-12,1.95147222222222,586.668508090657,583.804215535594,567.806602488889,593.247555555556,675.846400974581
2025-02-13,1.99340277777778,594.006355661532,592.297760157132,581.560309895833,607.987847222222,694.77051935782
2025-02-14,2.0034375,598.67235181496,598.19628281851,586.079996625,613.051875,700.757743811632
2025-02-15,1.97261111111111,598.67235181496,598.19628281851,578.660143394445,605.591611111111,690.024631379037
2025-02-16,1.92704861111111,598.67235181496,598.19628281851,566.885285666667,593.530972222222,673.290144193364
2025-02-17,1.897875,598.67235181496,598.19628281851,559.8991258875,586.443375,663.238048410333
2025-02-18,1.88779861111111,598.67235181496,598.19628281851,558.542975069444,585.217569444445,660.928287520669
2025-02-19,1.88202777777778,598.67235181496,598.19628281851,558.476122225,585.310638888889,660.352506008927
2025-02-20,1.87327777777778,598.67235181496,598.19628281851,557.541417066667,584.462666666667,658.551126006152
2025-02-21,1.86582638888889,598.67235181496,598.19628281851,557.007577449305,584.003659722222,657.263139369972
2025-02-22,1.84682638888889,598.67235181496,598.19628281851,553.030684691667,579.903486111111,651.258024905565
2025-02-23,1.8385625,598.67235181496,598.19628281851,552.27200015625,579.1471875,649.606407918237
