"date","hs","swe_deltasnow","swe_hs2swe","swe_pi16","swe_st10","swe_jo09"
2024-10-21,0,0,0,0,0,0
2024-10-22,0.648506944444444,52.3585440840278,73.7352395833333,124.513333333333,94.8796788468889,NA
2024-10-23,0.682368055555556,75.2943181954268,91.9485154057159,131.697034722222,102.245200815194,NA
2024-10-24,0.677604166666667,84.9449565252322,99.774184570876,131.455208333333,102.50907976282,NA
2024-10-25,0.684888888888889,92.2025943871062,106.329486276938,133.553333333333,105.03626334602,NA
2024-10-26,0.683201388888889,97.070533127432,110.96789644432,133.907472222222,105.867111698574,NA
2024-10-27,0.675868055555556,100.402198899399,114.160467031729,133.146006944444,105.602856723539,NA
2024-10-28,0.673319444444445,103.46889268026,117.227947831474,133.31725,106.24096034263,NA
2024-10-29,0.670840277777778,106.081937032574,119.969831003497,133.497215277778,106.881131156317,NA
2024-10-30,0.665361111111111,106.081937032574,119.969831003497,133.072222222222,106.922909404334,NA
2024-10-31,0.668076388888889,108.752577724924,122.793493007428,134.283354166667,108.560757488826,NA
2024-11-01,0.669166666666667,111.077975493659,125.447658857951,135.171666666667,109.879901961369,158.158108232278
2024-11-02,0.666020833333333,111.077975493659,125.447658857951,135.202229166667,110.349334127933,157.316096103534
2024-11-03,0.661076388888889,111.077975493659,125.447658857951,134.859583333333,110.444034953423,155.994588671937
2024-11-04,0.660368055555556,111.077975493659,125.447658857951,135.375451388889,111.379704078486,155.805466982388
2024-11-05,0.662701388888889,111.077975493659,128.05622155984,136.516486111111,112.93038766087,156.428654701412
2024-11-06,0.663465277777778,111.077975493659,128.05622155984,137.3373125,114.16116079484,156.632791572292
2024-11-07,0.667166666666667,113.399355236715,131.003502570614,138.770666666667,116.000137680474,157.622692892678
2024-11-08,0.663243055555556,113.399355236715,131.003502570614,138.617798611111,116.251780112329,156.573407445788
2024-11-09,0.662395833333333,113.399355236715,131.003502570614,139.103125,117.135713871094,156.347004625309
2024-11-10,0.664131944444444,113.399355236715,133.371565998372,140.131840277778,118.560312820431,156.810971798088
2024-11-11,0.664256944444444,113.399355236715,133.371565998372,140.822472222222,119.642361066014,156.844388582288
2024-11-12,0.681173611111111,116.856672919896,137.525320288417,145.089979166667,124.342015612436,161.380351886837
2024-11-13,0.729326388888889,123.440381309537,145.290007748844,156.075847222222,136.016819461027,174.439078253637
2024-11-14,0.7189375,123.440381309537,145.290007748844,154.5715625,134.832839458574,171.603236808594
2024-11-15,0.706826388888889,123.440381309537,145.290007748844,152.6745,133.240656116581,168.310096667637
2024-11-16,0.698013888888889,123.440381309537,145.290007748844,151.469013888889,132.361318295169,165.922548125881
2024-11-17,0.670222222222222,123.440381309537,145.290007748844,146.108444444444,127.218392058702,158.440825256523
2024-11-18,0.687541666666667,126.807229927091,148.640529304121,150.571625,132.148751537723,163.094833024228
2024-11-19,0.811041666666667,140.467963478243,164.503989620119,178.429166666667,161.950008850856,197.098510369528
2024-11-20,0.847604166666667,148.27003670304,173.332940459679,187.320520833333,172.000356875758,207.440445933309
2024-11-21,0.975125,165.21809804836,191.993118386709,216.47775,205.157679433627,244.493944484375
2024-11-22,0.963694444444444,171.124446317343,197.293331200095,214.903861111111,203.657593586161,241.110206699794
2024-11-23,0.937805555555556,173.813850067581,197.293331200095,210.068444444444,198.43749869843,233.491896579394
2024-11-24,0.914076388888889,173.813850067581,197.293331200095,205.6671875,193.752290474706,226.564430616737
2024-11-25,0.9151875,177.354524506212,199.957094031562,206.832375,195.372905883868,226.887622277344
2024-11-26,0.895166666666667,177.354524506212,199.957094031562,203.202833333333,191.578960832766,221.081857607078
2024-11-27,0.91175,181.636257717982,203.936929831535,207.879,197.146621578965,225.8881139375
2024-11-28,0.913736111111111,184.416732084741,206.892068114447,209.245569444444,198.980118741577,226.465468930831
